Time,Ultrasonic_p3_01,Ultrasonic_p4_01,Gyro_p1_01,Rotation_pA_01,Rotation_pD_01,Ultrasonic_p3_02,Ultrasonic_p4_02,Gyro_p1_02,Rotation_pA_02,Rotation_pD_02
0.000,38.200,45.400,0.000,0.014,0.014,30.300,255.000,0.000,0.067,0.064,
0.100,38.300,44.300,0.000,0.069,0.069,30.300,255.000,0.000,0.075,0.075,
0.200,38.200,46.000,-1.000,0.208,0.206,30.300,255.000,0.000,0.217,0.217,
0.300,39.300,50.600,-1.000,0.364,0.361,32.200,255.000,0.000,0.372,0.372,
0.400,38.300,50.400,-2.000,0.514,0.514,30.800,255.000,0.000,0.522,0.525,
0.500,38.400,49.900,-3.000,0.661,0.661,30.400,255.000,0.000,0.669,0.675,
0.600,38.500,33.800,-3.000,0.803,0.806,30.800,255.000,0.000,0.814,0.817,
0.700,38.400,33.000,-4.000,0.947,0.947,30.400,255.000,0.000,0.953,0.956,
0.800,39.300,32.600,-4.000,1.089,1.089,32.000,255.000,0.000,1.097,1.100,
0.900,40.600,32.600,-4.000,1.231,1.231,32.000,255.000,0.000,1.236,1.239,
1.000,39.700,32.600,-5.000,1.369,1.372,32.200,255.000,-1.000,1.378,1.381,
1.100,39.900,32.600,-5.000,1.511,1.514,32.200,255.000,-1.000,1.525,1.525,
1.200,40.800,32.600,-5.000,1.658,1.658,32.000,255.000,-1.000,1.661,1.664,
1.300,41.000,32.600,-5.000,1.797,1.797,32.000,42.000,-1.000,1.803,1.803,
1.400,40.800,32.600,-6.000,1.942,1.944,32.200,41.100,-2.000,1.953,1.950,
1.500,41.000,32.600,-6.000,2.083,2.083,32.100,40.400,-2.000,2.089,2.086,
1.600,40.800,32.600,-7.000,2.225,2.225,32.100,39.900,-3.000,2.231,2.225,
1.700,41.000,32.600,-7.000,2.361,2.367,32.100,39.700,-5.000,2.372,2.361,
1.800,41.000,39.700,-7.000,2.503,2.511,32.600,39.900,-7.000,2.517,2.503,
1.900,41.200,39.300,-7.000,2.642,2.653,33.000,39.700,-10.000,2.656,2.639,
2.000,42.000,38.400,-7.000,2.783,2.792,33.600,39.300,-11.000,2.800,2.781,
2.100,42.000,36.500,-7.000,2.931,2.936,34.500,38.900,-11.000,2.942,2.925,
2.200,42.500,35.300,-6.000,3.069,3.078,34.800,38.500,-10.000,3.083,3.069,
2.300,42.000,34.900,-5.000,3.208,3.217,35.500,37.600,-10.000,3.222,3.217,
2.400,42.000,34.500,-4.000,3.353,3.361,35.700,37.200,-10.000,3.361,3.358,
2.500,42.900,44.600,-4.000,3.489,3.500,35.700,36.500,-10.000,3.500,3.500,
2.600,42.900,36.100,-3.000,3.636,3.650,36.600,36.400,-11.000,3.644,3.642,
2.700,42.900,46.400,-2.000,3.778,3.792,37.000,36.100,-12.000,3.786,3.783,
2.800,43.500,45.400,-1.000,3.914,3.931,37.400,36.100,-13.000,3.928,3.919,
2.900,42.800,45.200,0.000,4.058,4.075,38.500,36.600,-14.000,4.067,4.058,
3.000,42.500,45.400,1.000,4.200,4.217,39.200,36.500,-14.000,4.214,4.203,
3.100,43.300,46.200,2.000,4.336,4.356,40.100,37.200,-15.000,4.350,4.342,
3.200,42.000,46.400,5.000,4.481,4.500,41.200,34.900,-16.000,4.494,4.486,
3.300,42.500,47.500,6.000,4.619,4.644,41.000,33.400,-16.000,4.631,4.622,
3.400,42.000,33.400,6.000,4.761,4.783,40.800,33.400,-17.000,4.772,4.764,
3.500,42.000,32.100,5.000,4.906,4.925,41.800,32.800,-17.000,4.917,4.908,
3.600,41.600,47.400,5.000,5.047,5.061,43.300,32.600,-17.000,5.056,5.047,
3.700,41.100,48.300,4.000,5.189,5.197,43.700,32.600,-18.000,5.200,5.194,
3.800,41.600,48.300,4.000,5.331,5.339,44.800,32.100,-17.000,5.336,5.336,
3.900,41.000,38.400,5.000,5.472,5.481,45.400,30.800,-17.000,5.481,5.481,
